2.33E+03;1.77E-02;5.27E+02;6.41E-04;-2.12E+00;3.31E+03
5.02E+03;3.82E-02;5.26E+02;7.74E-04;-2.56E+00;3.31E+03
7.45E+03;5.70E-02;5.23E+02;2.06E-03;-6.77E+00;3.29E+03
9.93E+03;7.69E-02;5.17E+02;4.23E-03;-1.37E+01;3.25E+03
1.24E+04;9.73E-02;5.10E+02;7.29E-03;-2.33E+01;3.20E+03
1.49E+04;1.19E-01;5.03E+02;1.13E-02;-3.55E+01;3.16E+03
1.74E+04;1.40E-01;4.96E+02;1.60E-02;-4.98E+01;3.12E+03
2.01E+04;1.64E-01;4.90E+02;2.18E-02;-6.70E+01;3.08E+03
2.10E+04;1.72E-01;4.88E+02;2.39E-02;-7.31E+01;3.06E+03
2.24E+04;1.85E-01;4.85E+02;2.72E-02;-8.29E+01;3.04E+03
2.40E+04;1.99E-01;4.82E+02;3.12E-02;-9.45E+01;3.02E+03
2.79E+04;2.35E-01;4.75E+02;4.15E-02;-1.24E+02;2.98E+03
