2.33E+03;1.11E-02;8.41E+02;-3.88E-04;2.05E+00;5.29E+03
5.02E+03;2.39E-02;8.41E+02;1.53E-03;-8.08E+00;5.28E+03
7.45E+03;3.56E-02;8.38E+02;1.36E-03;-7.17E+00;5.26E+03
9.93E+03;4.76E-02;8.34E+02;2.77E-03;-1.45E+01;5.24E+03
1.24E+04;5.98E-02;8.30E+02;4.44E-03;-2.31E+01;5.21E+03
1.49E+04;7.26E-02;8.21E+02;6.31E-03;-3.26E+01;5.16E+03
1.74E+04;8.58E-02;8.11E+02;8.40E-03;-4.28E+01;5.10E+03
2.01E+04;1.01E-01;7.99E+02;1.09E-02;-5.47E+01;5.02E+03
2.10E+04;1.06E-01;7.95E+02;1.18E-02;-5.87E+01;5.00E+03
2.24E+04;1.14E-01;7.89E+02;1.31E-02;-6.52E+01;4.96E+03
2.40E+04;1.23E-01;7.82E+02;1.48E-02;-7.26E+01;4.91E+03
2.79E+04;1.46E-01;7.66E+02;1.89E-02;-9.09E+01;4.81E+03
