0.997161 0.000696
0.987225 0.003478
 0.97374 0.00487
0.964514 0.006261
0.953158 0.006725
0.937544 0.007188
0.912704 0.007652
0.899929 0.007652
0.882896 0.008116
0.861604 0.008116
0.840312 0.00858
0.823989 0.009043
0.800568 0.009043
0.775018 0.009043
0.758694 0.009507
0.735273 0.010435
0.706884 0.010899
0.683463 0.010899
0.662172 0.010899
0.643009 0.011362
0.630234 0.011362
0.608233 0.01229
0.575586 0.011826
0.555004 0.012754
0.529454 0.012754
 0.51242 0.012754
0.478353 0.012754
0.452094 0.013217
0.415898 0.014145
0.389638 0.014145
0.361249 0.014145
0.337119 0.014145
0.297374 0.014145
0.267566 0.014609
0.225692 0.015072
0.189496 0.015536
0.167495 0.016
0.151171 0.016
0.136267 0.015536
0.105039 0.015536
0.086586 0.014609
0.064585 0.013681
0.046842 0.011362
0.029808 0.010435
0.013485 0.007188
0.002839 0.003942
0.00071 0.000232
0.005678 -0.00348
0.016324 -0.00672
0.029808 -0.00904
0.046132  -0.0109
0.059617 -0.01229
0.080199 -0.01275
0.104329 -0.01368
0.124911 -0.01461
0.142654 -0.01461
0.158268 -0.01507
0.173882 -0.01461
0.187367 -0.01461
0.212207 -0.01461
0.233499 -0.01414
0.252661 -0.01368
0.272534 -0.01368
0.294535 -0.01414
0.320085 -0.01414
0.342796 -0.01368
0.371895 -0.01275
0.402413 -0.01229
0.433641 -0.01183
0.458481 -0.01229
 0.48829 -0.01136
0.514549 -0.01136
0.544358 -0.0109
0.572747 -0.01043
0.606104 -0.01043
  0.6423 -0.00951
0.670688 -0.00951
0.696238 -0.00904
0.721789 -0.00951
0.753016 -0.00858
0.784244 -0.00858
0.809794 -0.00858
0.832505 -0.00765
0.855216 -0.00765
0.877928 -0.00719
  0.8978 -0.00672
0.912704 -0.00672
0.931867 -0.00626
 0.94961 -0.0058
0.960965 -0.0058
0.970192 -0.00487
0.976579 -0.00348
0.984386 -0.00209
0.990064 -0.00162
0.997871 -0.0007
